OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,CostPrice,SellingPrice,SalesAmount,Profit
ORD5030,2024-08-14,CUST1044,PROD2004,6,0.07,908.21,1117.0983,6233.408514,1165.5967140000002
ORD5031,2025-10-03,CUST1009,PROD2044,6,0.18,325.33,455.46199999999993,2240.87304,640.2494399999998
ORD5032,2024-04-17,CUST1083,PROD2045,6,0.16,774.06,882.4283999999999,4447.439135999999,546.1767359999998
ORD5033,2024-01-12,CUST1092,PROD2018,2,0.21,212.34,305.76959999999997,483.11596799999995,147.61876799999996
ORD5034,2025-10-20,CUST1091,PROD2031,9,0.02,277.75,311.08000000000004,2743.7256,293.97060000000033
ORD5035,2022-03-17,CUST1067,PROD2043,8,0.3,301.26,418.75139999999993,2345.0078399999993,657.9518399999996
ORD5036,2023-11-11,CUST1080,PROD2035,2,0.16,422.36,582.8568,979.199424,269.63462400000003
ORD5037,2023-07-30,CUST1097,PROD2026,4,0.14,191.81,237.8444,818.184736,158.358336
ORD5038,2022-06-30,CUST1044,PROD2006,6,0.3,823.36,1037.4336,4357.221119999999,899.1091200000002
ORD5039,2022-01-05,CUST1098,PROD2025,3,0.29,667.43,927.7276999999999,1976.0600009999998,554.4341009999999
ORD5040,2023-10-05,CUST1046,PROD2039,3,0.23,813.79,976.5479999999999,2255.82588,375.9709799999998
ORD5041,2024-12-10,CUST1057,PROD2038,6,0.13,324.02,421.226,2198.79972,507.41532000000007
ORD5042,2024-08-06,CUST1022,PROD2047,4,0.29,291.98,341.6166,970.191144,140.96794399999996
ORD5043,2023-10-30,CUST1079,PROD2007,1,0.25,187.63,257.05310000000003,192.789825,52.067325000000025
ORD5044,2022-10-18,CUST1090,PROD2010,9,0.29,406.42,475.5114,3038.517846,441.4940459999998
ORD5045,2025-07-09,CUST1078,PROD2034,6,0.08,672.32,773.168,4267.88736,556.6809599999998
ORD5046,2022-07-07,CUST1039,PROD2001,5,0.13,687.8,756.58,3291.123,299.1930000000004
ORD5047,2024-04-15,CUST1091,PROD2010,8,0.14,406.42,520.2176000000001,3579.0970880000004,782.9274880000003
ORD5048,2024-07-21,CUST1085,PROD2026,6,0.15,191.81,264.6978,1349.95878,371.7277799999998
ORD5049,2025-10-19,CUST1012,PROD2014,4,0.05,477.42,692.259,2630.5842,816.3882
ORD5050,2023-12-29,CUST1046,PROD2012,1,0.19,117.79,170.7955,138.344355,42.934455
ORD5051,2024-10-27,CUST1043,PROD2001,3,0.17,687.8,804.7259999999999,2003.7677399999998,291.1457399999998
ORD5052,2022-08-12,CUST1070,PROD2026,3,0.15,191.81,257.0254,655.41477,166.29926999999998
ORD5053,2022-12-22,CUST1097,PROD2001,6,0.09,687.8,852.872,4656.68112,901.29312
ORD5054,2023-01-22,CUST1026,PROD2020,6,0.29,235.95,271.3425,1155.9190499999997,150.77204999999992
ORD5055,2025-12-21,CUST1054,PROD2010,4,0.24,406.42,455.19040000000007,1383.7788160000002,148.26201600000016
ORD5056,2022-11-29,CUST1004,PROD2029,5,0.21,244.76,345.11159999999995,1363.1908199999998,396.3888199999999
ORD5057,2022-03-30,CUST1038,PROD2025,8,0.13,667.43,981.1220999999999,6828.609815999999,2183.297016
ORD5058,2025-02-11,CUST1089,PROD2014,5,0.19,477.42,587.2266,2378.26773,444.71672999999976
ORD5059,2023-03-17,CUST1076,PROD2039,3,0.03,813.79,1171.8575999999998,3410.1056159999994,1041.9767159999994
ORD5060,2024-05-09,CUST1024,PROD2037,6,0.17,624.76,924.6448,4604.7311039999995,1493.426304
ORD5061,2025-07-10,CUST1000,PROD2023,1,0.18,224.48,258.152,211.68464,27.61104
ORD5062,2022-05-12,CUST1018,PROD2032,1,0.03,262.85,339.07650000000007,328.90420500000005,73.93970500000005
ORD5063,2024-04-18,CUST1038,PROD2022,2,0.3,754.42,958.1134,1341.3587599999998,285.17076
ORD5064,2022-11-18,CUST1016,PROD2014,4,0.05,477.42,615.8718,2340.31284,526.1168399999999
ORD5065,2025-10-09,CUST1095,PROD2029,6,0.1,244.76,286.3692,1546.39368,224.68967999999992
ORD5066,2022-09-24,CUST1019,PROD2014,1,0.24,477.42,577.6782,439.03543199999996,76.19623199999995
ORD5067,2025-09-20,CUST1046,PROD2009,8,0.04,886.2,1329.3000000000002,10209.024000000001,3403.0080000000007
ORD5068,2024-06-11,CUST1020,PROD2023,9,0.2,224.48,260.3968,1874.85696,258.60095999999993
ORD5069,2022-10-21,CUST1054,PROD2013,9,0.29,874.42,970.6062000000001,6202.173618,614.6298180000006
ORD5070,2025-01-29,CUST1046,PROD2042,3,0.24,571.71,697.4862,1590.268536,286.769736
ORD5071,2023-09-10,CUST1005,PROD2028,3,0.11,689.03,799.2747999999999,2134.0637159999997,294.3536159999999
ORD5072,2024-08-26,CUST1029,PROD2004,5,0.21,908.21,1253.3298,4950.652709999999,1363.2232099999999
ORD5073,2024-11-02,CUST1083,PROD2048,6,0.27,989.6,1227.104,5374.71552,1040.26752
ORD5074,2023-05-04,CUST1073,PROD2022,1,0.19,754.42,1041.0995999999998,843.2906759999998,232.21047599999986
ORD5075,2023-02-08,CUST1060,PROD2039,3,0.01,813.79,943.9963999999999,2803.6693079999995,386.7130079999998
ORD5076,2023-07-25,CUST1069,PROD2037,2,0.27,624.76,937.14,1368.2244,456.0748
ORD5077,2024-03-07,CUST1070,PROD2018,6,0.1,212.34,239.9442,1295.69868,149.06267999999997
ORD5078,2025-02-03,CUST1062,PROD2014,3,0.28,477.42,582.4524,1258.097184,226.869984
ORD5079,2024-04-16,CUST1004,PROD2026,9,0.04,191.81,234.0082,2021.830848,364.5924479999999
ORD5080,2024-02-05,CUST1053,PROD2044,8,0.02,325.33,361.1163,2831.151792,280.5645920000003
ORD5081,2022-12-25,CUST1005,PROD2044,3,0.3,325.33,406.66249999999997,853.9912499999999,170.79824999999994
ORD5082,2022-01-09,CUST1053,PROD2005,2,0.0,922.45,1337.5525,2675.105,830.2049999999999
ORD5083,2024-02-20,CUST1037,PROD2016,3,0.2,178.28,229.9812,551.9548800000001,124.08288
ORD5084,2022-05-02,CUST1074,PROD2001,2,0.26,687.8,956.0419999999999,1414.9421599999998,396.9981599999999
ORD5085,2022-06-13,CUST1088,PROD2035,9,0.12,422.36,616.6456000000001,4883.833152,1538.7419520000005
ORD5086,2025-07-05,CUST1000,PROD2048,8,0.12,989.6,1296.376,9126.48704,2159.70304
ORD5087,2025-01-23,CUST1020,PROD2021,2,0.05,462.61,578.2625,1098.69875,219.73975000000004
ORD5088,2025-05-01,CUST1057,PROD2015,8,0.18,992.43,1171.0674,7682.202144,1171.861344
ORD5089,2025-05-27,CUST1004,PROD2031,5,0.26,277.75,324.9675,1202.3797499999998,174.7047499999999
ORD5090,2025-05-19,CUST1060,PROD2027,6,0.17,941.89,1356.3216,6754.481567999999,2063.869368
ORD5091,2022-05-20,CUST1073,PROD2021,1,0.08,462.61,606.0191000000001,557.5375720000001,131.9363720000001
ORD5092,2025-04-14,CUST1047,PROD2002,2,0.03,112.22,136.9084,265.60229599999997,47.895496
ORD5093,2025-01-03,CUST1032,PROD2031,8,0.25,277.75,316.635,1899.81,233.30999999999995
ORD5094,2024-04-15,CUST1023,PROD2017,2,0.17,604.3,815.805,1354.2362999999998,351.0983
ORD5095,2024-07-09,CUST1042,PROD2000,7,0.27,173.49,194.30880000000002,992.9179680000001,106.38406800000006
ORD5096,2024-05-16,CUST1091,PROD2008,1,0.11,607.17,886.4681999999999,788.956698,248.57539799999995
ORD5097,2025-09-13,CUST1010,PROD2048,4,0.23,989.6,1147.936,3535.64288,487.6748799999997
ORD5098,2024-12-26,CUST1085,PROD2032,4,0.1,262.85,375.8755,1353.1518,406.8917999999999
ORD5099,2025-05-05,CUST1096,PROD2044,9,0.17,325.33,413.16909999999996,3086.3731769999995,656.1580769999997
ORD5100,2022-04-20,CUST1014,PROD2004,2,0.01,908.21,1207.9193,2391.680214,593.424414
ORD5101,2024-06-23,CUST1064,PROD2025,4,0.29,667.43,894.3562,2539.971608,644.4704079999999
ORD5102,2022-11-14,CUST1084,PROD2032,7,0.2,262.85,365.3615,2046.0244,574.0643999999998
ORD5103,2023-01-07,CUST1017,PROD2026,2,0.23,191.81,212.90910000000002,327.880014,32.49261400000003
ORD5104,2024-01-29,CUST1096,PROD2028,5,0.03,689.03,992.2031999999999,4812.185519999999,1470.3900199999998
ORD5105,2022-09-18,CUST1082,PROD2020,5,0.29,235.95,294.9375,1047.028125,209.40562500000004
ORD5106,2022-01-23,CUST1018,PROD2047,7,0.06,291.98,391.25320000000005,2574.446056,653.2176560000001
ORD5107,2022-02-28,CUST1037,PROD2010,5,0.22,406.42,577.1164,2250.75396,665.71596
ORD5108,2025-10-06,CUST1082,PROD2009,4,0.01,886.2,1187.508,4702.53168,1193.17968
ORD5109,2022-12-27,CUST1057,PROD2038,4,0.01,324.02,388.82399999999996,1539.7430399999998,256.6238399999999
ORD5110,2023-10-25,CUST1082,PROD2044,6,0.04,325.33,364.3696,2098.768896,224.86809600000004
ORD5111,2022-02-21,CUST1003,PROD2037,1,0.03,624.76,774.7024,751.461328,145.444128
ORD5112,2025-05-16,CUST1010,PROD2045,1,0.03,774.06,890.1689999999999,863.4639299999999,112.62572999999992
ORD5113,2023-12-10,CUST1087,PROD2034,8,0.09,672.32,968.1408,7048.065024,2153.5754239999997
ORD5114,2025-08-20,CUST1027,PROD2045,5,0.01,774.06,959.8344,4751.18028,919.5832800000001
ORD5115,2023-06-15,CUST1093,PROD2027,6,0.15,941.89,1054.9168000000002,5380.075680000001,576.436680000001
ORD5116,2025-09-03,CUST1043,PROD2005,5,0.03,922.45,1097.7155,5323.920175,850.0376749999998
ORD5117,2023-01-03,CUST1091,PROD2035,7,0.07,422.36,612.422,3986.8672199999996,1237.3036200000001
ORD5118,2022-04-13,CUST1082,PROD2015,8,0.12,992.43,1339.7805,9432.05472,2445.3475200000007
ORD5119,2023-06-27,CUST1047,PROD2017,9,0.01,604.3,882.2779999999999,7861.096979999999,2476.7839799999997
ORD5120,2025-03-24,CUST1046,PROD2027,8,0.05,941.89,1064.3356999999999,8088.951319999998,930.587319999999
ORD5121,2023-05-30,CUST1046,PROD2013,7,0.23,874.42,1031.8156,5561.486083999999,848.3622839999998
ORD5122,2025-11-04,CUST1083,PROD2034,6,0.15,672.32,894.1856000000001,4560.34656,1131.5145600000003
ORD5123,2025-04-29,CUST1019,PROD2002,3,0.24,112.22,130.1752,296.79945599999996,40.93785599999998
ORD5124,2025-08-09,CUST1099,PROD2018,2,0.12,212.34,290.9058,511.994208,138.27580799999998
ORD5125,2023-11-21,CUST1095,PROD2046,3,0.17,428.69,553.0101,1376.9951489999999,309.5570489999999
ORD5126,2023-01-25,CUST1053,PROD2049,1,0.16,779.77,1122.8688,943.2097919999999,288.202992
ORD5127,2022-01-27,CUST1000,PROD2016,5,0.04,178.28,215.7188,1035.4502400000001,179.70623999999992
ORD5128,2023-06-11,CUST1043,PROD2019,9,0.1,126.81,178.8021,1448.29701,421.13600999999994
ORD5129,2023-08-28,CUST1093,PROD2034,4,0.15,672.32,900.9088000000002,3063.0899200000003,777.2019200000003
ORD5130,2024-11-01,CUST1045,PROD2017,8,0.26,604.3,694.9449999999999,4114.0743999999995,536.6183999999998
ORD5131,2022-03-15,CUST1058,PROD2021,8,0.25,462.61,638.4018,3830.4107999999997,1054.7507999999998
ORD5132,2023-12-28,CUST1049,PROD2034,2,0.18,672.32,947.9712000000001,1554.6727680000001,452.06796800000006
ORD5133,2022-07-25,CUST1089,PROD2002,4,0.05,112.22,142.5194,541.57372,115.13771999999996
ORD5134,2022-07-13,CUST1009,PROD2049,3,0.27,779.77,873.3424000000001,1912.6198560000003,204.92355600000027
ORD5135,2022-01-28,CUST1009,PROD2045,3,0.29,774.06,866.9472000000001,1846.597536,197.84973600000023
ORD5136,2022-11-11,CUST1080,PROD2028,8,0.09,689.03,799.2747999999999,5818.720544,802.5821439999996
ORD5137,2024-05-22,CUST1096,PROD2033,1,0.23,508.96,585.304,450.68408,58.784879999999994
ORD5138,2022-06-15,CUST1028,PROD2021,4,0.22,462.61,675.4106,2107.281072,663.9378720000001
ORD5139,2022-06-25,CUST1093,PROD2026,4,0.06,191.81,232.0901,872.658776,151.453176
ORD5140,2022-03-07,CUST1044,PROD2035,6,0.24,422.36,603.9748,2754.125088,828.1634879999998
ORD5141,2024-06-14,CUST1050,PROD2035,3,0.19,422.36,582.8568,1416.342024,390.00722400000006
ORD5142,2023-08-14,CUST1035,PROD2003,9,0.16,338.67,379.3104000000001,2867.5866240000005,307.2414240000004
ORD5143,2023-10-07,CUST1066,PROD2017,7,0.2,604.3,888.3209999999999,4974.5976,1590.5176
ORD5144,2022-07-02,CUST1029,PROD2012,3,0.24,117.79,176.685,402.84180000000003,134.2806
ORD5145,2022-11-08,CUST1016,PROD2014,9,0.03,477.42,582.4524,5084.809452,916.932852
ORD5146,2024-08-19,CUST1016,PROD2030,4,0.12,895.43,1280.4649,4507.236448,1355.322848
ORD5147,2022-10-05,CUST1039,PROD2013,7,0.27,874.42,1206.6996,6166.234955999999,1697.9487559999998
ORD5148,2024-07-22,CUST1020,PROD2043,7,0.06,301.26,343.43639999999994,2259.8115119999993,277.5207119999996
ORD5149,2023-12-19,CUST1091,PROD2047,9,0.28,291.98,367.89480000000003,2383.958304,491.92790400000007
ORD5150,2024-09-03,CUST1069,PROD2045,5,0.24,774.06,952.0937999999999,3617.9564399999995,676.5284399999997
ORD5151,2023-01-30,CUST1001,PROD2044,3,0.25,325.33,413.16909999999996,929.6304749999998,197.63797499999993
ORD5152,2024-08-16,CUST1089,PROD2017,5,0.01,604.3,803.7189999999999,3978.4090499999998,987.1240499999999
ORD5153,2025-08-23,CUST1005,PROD2032,2,0.03,262.85,291.7635000000001,566.0211900000002,56.09219000000011
ORD5154,2024-06-09,CUST1028,PROD2037,6,0.22,624.76,730.9692,3420.935856,497.05905600000006
ORD5155,2023-09-08,CUST1079,PROD2003,4,0.29,338.67,443.65770000000003,1259.987868,298.165068
ORD5156,2024-01-23,CUST1059,PROD2035,8,0.01,422.36,574.4096000000001,4549.324032,1204.2328320000004
ORD5157,2024-12-25,CUST1068,PROD2035,1,0.3,422.36,498.3848,348.86936,53.21735999999998
ORD5158,2025-12-16,CUST1059,PROD2048,5,0.25,989.6,1434.92,5380.950000000001,1669.9500000000003
ORD5159,2023-11-06,CUST1087,PROD2008,9,0.18,607.17,765.0341999999999,5645.952396,1165.037796
ORD5160,2024-05-28,CUST1063,PROD2030,9,0.25,895.43,1199.8762,8099.16435,2055.01185
ORD5161,2022-05-31,CUST1034,PROD2003,7,0.19,338.67,501.2316,2841.983172,921.724272
ORD5162,2024-06-11,CUST1096,PROD2004,8,0.28,908.21,1126.1804,6486.799104,1255.5095039999994
ORD5163,2024-09-10,CUST1089,PROD2018,2,0.04,212.34,307.893,591.15456,183.46175999999994
ORD5164,2025-12-17,CUST1014,PROD2042,6,0.27,571.71,668.9007,2929.785066,425.69526599999995
ORD5165,2025-09-06,CUST1049,PROD2037,6,0.14,624.76,799.6928,4126.414848,902.6532480000002
ORD5166,2025-10-13,CUST1001,PROD2025,2,0.1,667.43,901.0305,1621.8549,420.4809
ORD5167,2025-08-12,CUST1014,PROD2041,6,0.16,100.51,113.57629999999999,572.424552,65.85415199999991
ORD5168,2023-09-26,CUST1058,PROD2043,9,0.03,301.26,382.6002,3340.0997459999994,710.0999459999998
ORD5169,2023-12-04,CUST1062,PROD2022,3,0.19,754.42,1071.2764,2603.201652,769.9610520000001
ORD5170,2022-12-22,CUST1063,PROD2029,7,0.03,244.76,352.45439999999996,2393.1653759999995,731.2449759999998
ORD5171,2022-12-07,CUST1006,PROD2041,1,0.15,100.51,141.7191,120.46123499999999,35.02773499999999
ORD5172,2025-12-07,CUST1057,PROD2041,1,0.16,100.51,116.5916,97.936944,13.508543999999995
ORD5173,2023-04-02,CUST1055,PROD2017,4,0.28,604.3,707.031,2036.2492799999998,295.86528
ORD5174,2025-10-18,CUST1024,PROD2001,7,0.1,687.8,797.8479999999998,5026.442399999999,693.3023999999994
ORD5175,2023-05-04,CUST1012,PROD2044,9,0.28,325.33,442.4488,2867.068224,758.929824
ORD5176,2022-08-24,CUST1022,PROD2001,8,0.21,687.8,763.458,4825.05456,478.15856000000014
ORD5177,2025-08-29,CUST1020,PROD2049,7,0.12,779.77,1083.8802999999998,6676.702647999999,1873.3194479999988
ORD5178,2025-01-20,CUST1096,PROD2011,9,0.11,152.78,181.8082,1456.283682,232.51588199999998
ORD5179,2025-01-15,CUST1096,PROD2036,4,0.0,664.64,983.6672,3934.6688,1276.1088
ORD5180,2024-06-06,CUST1025,PROD2016,3,0.04,178.28,254.94039999999998,734.228352,220.78195199999993
ORD5181,2022-08-06,CUST1048,PROD2043,2,0.07,301.26,346.44899999999996,644.3951399999999,84.05153999999993
ORD5182,2022-03-08,CUST1084,PROD2018,4,0.05,212.34,237.82080000000002,903.7190400000001,96.82704000000005
ORD5183,2023-09-25,CUST1040,PROD2035,7,0.18,422.36,489.9376,2812.2418239999997,387.8954239999998
ORD5184,2025-10-11,CUST1095,PROD2005,7,0.23,922.45,1337.5525,7209.407975,2237.402475
ORD5185,2023-07-09,CUST1015,PROD2017,3,0.16,604.3,827.891,2086.28532,563.44932
ORD5186,2024-09-18,CUST1056,PROD2035,4,0.23,422.36,591.304,1821.21632,520.3475199999999
ORD5187,2022-07-15,CUST1022,PROD2000,7,0.28,173.49,192.57390000000004,970.5724560000001,96.18285600000014
ORD5188,2022-03-07,CUST1039,PROD2036,8,0.23,664.64,770.9824,4749.251584,655.069184
ORD5189,2022-07-12,CUST1037,PROD2016,8,0.13,178.28,221.0672,1538.6277120000002,297.7989120000001
ORD5190,2025-04-16,CUST1086,PROD2048,7,0.17,989.6,1375.5439999999999,7991.910639999999,2242.334639999999
ORD5191,2024-06-02,CUST1050,PROD2043,3,0.06,301.26,388.6254,1095.923628,246.37042800000006
ORD5192,2024-01-08,CUST1081,PROD2005,6,0.28,922.45,1309.879,5658.677279999999,1673.6932799999993
ORD5193,2025-03-30,CUST1062,PROD2017,5,0.25,604.3,737.246,2764.6725,498.5475000000001
ORD5194,2023-08-25,CUST1063,PROD2041,7,0.02,100.51,141.7191,972.1930259999999,282.69442599999996
ORD5195,2024-03-24,CUST1007,PROD2016,8,0.26,178.28,247.80919999999998,1467.030464,411.61286399999983
ORD5196,2022-09-19,CUST1092,PROD2029,2,0.03,244.76,276.57879999999994,536.5628719999999,61.72847199999991
ORD5197,2024-02-19,CUST1063,PROD2006,1,0.15,823.36,1029.2,874.82,174.96400000000003
ORD5198,2024-01-04,CUST1078,PROD2046,5,0.05,428.69,553.0101,2626.7979749999995,590.5204749999998
ORD5199,2025-09-16,CUST1035,PROD2026,8,0.11,191.81,287.71500000000003,2048.5308000000005,682.8436000000003
ORD5200,2023-10-21,CUST1006,PROD2038,2,0.25,324.02,417.9858,626.9787,140.9487
ORD5201,2022-04-28,CUST1068,PROD2046,9,0.09,428.69,553.0101,4529.152719,1018.1816189999997
ORD5202,2023-08-16,CUST1019,PROD2000,1,0.27,173.49,213.39270000000002,155.77667100000002,29.128971000000007
ORD5203,2024-12-05,CUST1075,PROD2042,1,0.17,571.71,823.2624000000001,683.3077920000001,208.78849200000002
ORD5204,2025-08-04,CUST1000,PROD2043,6,0.01,301.26,367.5372,2183.170968,393.68656799999997
ORD5205,2023-06-22,CUST1050,PROD2000,9,0.23,173.49,237.68130000000002,1647.1314090000003,444.84570900000006
ORD5206,2024-06-19,CUST1091,PROD2032,9,0.18,262.85,294.39200000000005,2172.6129600000004,232.77996000000024
ORD5207,2022-01-30,CUST1071,PROD2009,2,0.25,886.2,1134.336,1701.504,372.20399999999995
ORD5208,2024-01-30,CUST1014,PROD2013,2,0.29,874.42,1180.467,1676.26314,434.5867400000002
ORD5209,2023-02-13,CUST1008,PROD2026,1,0.16,191.81,214.82720000000003,180.45484800000003,19.334448000000027
ORD5210,2025-09-01,CUST1053,PROD2046,3,0.03,428.69,492.9935,1434.6110849999998,187.12318499999995
ORD5211,2024-04-15,CUST1090,PROD2036,5,0.19,664.64,764.3359999999999,3095.5607999999997,403.76879999999966
ORD5212,2025-08-14,CUST1074,PROD2038,2,0.08,324.02,447.14759999999995,822.751584,226.55478399999996
ORD5213,2022-10-23,CUST1093,PROD2027,2,0.16,941.89,1196.2003,2009.6165039999998,427.24130399999996
ORD5214,2025-05-10,CUST1026,PROD2010,7,0.27,406.42,585.2448,2990.600928,913.7947280000002
ORD5215,2025-05-18,CUST1089,PROD2015,3,0.14,992.43,1141.2944999999997,2944.5398099999993,384.07040999999947
ORD5216,2022-02-16,CUST1048,PROD2040,1,0.18,508.87,630.9988,517.419016,100.14561599999998
ORD5217,2024-10-23,CUST1008,PROD2004,3,0.18,908.21,1353.2329,3328.9529340000004,1094.756334
ORD5218,2022-03-04,CUST1023,PROD2038,1,0.02,324.02,398.54459999999995,390.57370799999995,73.03410799999996
ORD5219,2022-01-01,CUST1026,PROD2013,9,0.26,874.42,1119.2576,7454.255616,1630.6184159999996
ORD5220,2023-02-24,CUST1020,PROD2025,5,0.16,667.43,967.7734999999999,4064.6486999999993,1261.4426999999998
ORD5221,2025-04-13,CUST1066,PROD2005,9,0.25,922.45,1079.2665,7285.0488749999995,1058.5113749999994
ORD5222,2025-06-30,CUST1037,PROD2035,6,0.23,422.36,620.8692,2868.415704,917.1125039999998
ORD5223,2022-01-13,CUST1074,PROD2025,9,0.27,667.43,967.7734999999999,6358.271895,1973.2567949999996
ORD5224,2022-01-15,CUST1090,PROD2028,8,0.03,689.03,861.2874999999999,6683.590999999999,1336.7181999999996
ORD5225,2022-03-08,CUST1097,PROD2034,4,0.27,672.32,988.3104000000001,2885.866368,922.6919680000001
ORD5226,2022-08-16,CUST1027,PROD2038,1,0.13,324.02,388.82399999999996,338.27687999999995,56.37947999999998
ORD5227,2024-09-04,CUST1046,PROD2010,7,0.24,406.42,520.2176000000001,2767.5576320000005,605.4032320000002
ORD5228,2022-07-06,CUST1007,PROD2046,5,0.01,428.69,497.2804,2461.53798,339.5224799999999
ORD5229,2024-03-04,CUST1039,PROD2022,9,0.14,754.42,920.3924,7123.837176,1284.626376
ORD5230,2024-10-08,CUST1061,PROD2007,7,0.1,187.63,270.18719999999996,1702.1793599999999,520.1103599999998
ORD5231,2024-09-13,CUST1026,PROD2021,3,0.03,462.61,670.7845,1951.9828949999999,605.7877949999998
ORD5232,2024-05-01,CUST1065,PROD2034,8,0.09,672.32,934.5248,6803.340544000001,1908.8509439999998
ORD5233,2022-06-15,CUST1074,PROD2041,4,0.08,100.51,121.61710000000001,447.55092800000006,77.67412800000001
ORD5234,2022-02-17,CUST1089,PROD2049,1,0.26,779.77,1029.2964,761.6793359999999,184.64953599999998
ORD5235,2024-07-09,CUST1047,PROD2006,1,0.09,823.36,1012.7328,921.586848,172.32924799999998
ORD5236,2023-02-08,CUST1082,PROD2008,7,0.27,607.17,680.0304,3474.955344,372.3166440000001
ORD5237,2023-11-06,CUST1073,PROD2021,5,0.11,462.61,680.0367,3026.1633150000002,967.548815
ORD5238,2023-03-08,CUST1086,PROD2039,8,0.06,813.79,1139.3059999999998,8567.581119999999,2447.880319999999
ORD5239,2025-11-30,CUST1045,PROD2043,6,0.03,301.26,373.56239999999997,2174.133168,420.79996799999986
ORD5240,2024-06-23,CUST1057,PROD2010,3,0.06,406.42,609.63,1719.1565999999998,573.0521999999999
ORD5241,2024-09-20,CUST1064,PROD2006,5,0.14,823.36,1037.4336,4460.964480000001,920.5164800000003
ORD5242,2025-12-13,CUST1025,PROD2049,1,0.17,779.77,1091.6779999999999,906.0927399999998,258.8836399999999
ORD5243,2023-02-04,CUST1021,PROD2030,4,0.04,895.43,1092.4245999999998,4194.910464,756.4592639999995
ORD5244,2024-12-08,CUST1093,PROD2036,6,0.13,664.64,930.4959999999999,4857.189119999999,1387.7683199999994
ORD5245,2023-04-05,CUST1046,PROD2017,6,0.01,604.3,876.2349999999999,5204.8359,1615.2938999999997
ORD5246,2023-09-28,CUST1064,PROD2039,2,0.29,813.79,992.8237999999999,1409.8097959999998,254.22799599999988
ORD5247,2022-10-06,CUST1000,PROD2022,8,0.05,754.42,935.4807999999999,7109.654079999999,1376.0620799999997
